T_in,T_out,q_dot
27.2,15.9,31.2
29.6,17.1,37.0
29.5,18.1,34.2
30.4,19.0,31.0
30.4,20.0,28.5
30.2,21.0,25.7
29.8,22.1,22.8
29.8,22.9,20.0
29.9,24.1,17.1
29.6,24.9,14.3
29.5,26.1,11.4
30.3,26.9,8.6
32.5,16.9,45.7
32.6,18.1,42.8
32.6,19.1,40.0
32.7,20.2,37.2
32.9,21.1,34.3
33.0,22.0,31.5
32.5,23.1,28.7
32.8,24.1,25.8
33.0,24.9,23.0
32.9,26.0,20.1
33.1,27.0,17.2
35.7,17.0,54.4
35.6,18.1,51.6
36.2,19.1,48.7
36.3,20.2,45.9
36.4,21.1,43.1
35.5,22.2,40.2
36.2,22.9,37.4
36.2,24.1,34.5
35.7,25.0,31.7
36.0,26.1,28.8
35.8,27.1,25.9
38.8,16.9,63.1
39.4,18.1,60.3
38.9,19.2,57.5
39.2,20.1,54.7
38.5,21.2,51.8
39.0,22.0,49.0
39.0,23.1,46.1
39.3,24.0,43.3
39.3,24.9,40.4
39.1,26.2,37.6
39.1,27.2,34.7
42.2,17.0,71.9
42.3,18.1,69.1
42.4,18.9,66.3
41.9,20.0,63.5
41.8,21.0,60.6
41.8,22.1,57.8
42.2,22.8,54.9
41.5,24.2,52.1
42.3,25.3,49.2
41.8,25.9,46.3
42.3,26.8,43.5
45.2,17.1,80.8
44.5,18.2,78.0
44.8,18.8,75.1
45.2,20.0,72.3
44.9,21.2,69.5
45.3,22.1,66.6
44.5,22.8,63.8
44.9,24.1,60.9
44.8,25.2,58.1
45.3,26.2,55.2
44.9,26.9,52.3
48.0,17.2,89.7
47.7,18.1,86.9
48.2,18.9,84.0
48.3,19.9,81.2
48.0,20.0,78.3
48.4,22.8,75.5
48.2,23.0,72.7
47.6,24.0,69.8
48.2,25.1,66.9
48.2,25.8,64.1
47.8,26.9,61.2
50.5,17.0,98.6
50.6,18.0,95.8
50.5,19.1,93.0
50.9,20.1,90.1
51.0,20.8,87.3
51.0,21.9,84.4
50.5,23.0,81.6
51.2,24.1,78.7
50.8,25.2,75.9
51.2,25.9,73.0
51.0,26.9,70.1
54.2,17.1,107.6
53.5,18.1,104.8
54.1,19.1,101.9
53.5,20.1,99.1
53.5,21.2,96.3
54.2,21.9,93.4
54.1,23.2,90.6
53.8,24.1,87.7
53.6,25.0,84.8
53.9,26.0,82.0
53.7,26.8,79.1
57.2,17.0,116.7
56.9,18.1,113.8
57.0,19.1,111.0
56.7,19.8,108.1
57.3,20.9,105.3
56.8,21.9,102.4
57.4,23.2,99.6
57.3,23.8,96.7
56.6,25.2,93.8
57.0,25.8,91.0
57.2,27.0,88.1
60.2,16.9,125.7
59.9,17.9,122.9
59.6,19.1,120.0
60.2,20.1,117.2
60.2,20.9,114.3
60.4,21.8,111.5
59.1,22.9,108.6
59.1,24.1,105.8
60.1,25.2,102.9
59.1,25.8,100.0
60.3,26.9,97.1
